COLOR NAME	HEX NUM
Acid green	B0BF1A
Air Force blue#Aero	7CB9E8
Aero blue	C0E8D5
African violet (color)	B284BE
Air Force blue#Air superiority blue/PRU blue	72A0C1
Shades of white#Alabaster	EDEAE0
Alice blue	F0F8FF
Shades of orange#Alloy orange	C46210
Almond (color)	EFDECD
Amaranth (color)	E52B50
Amaranth (color)#Amaranth deep purple	9F2B68
Amaranth (color)#Amaranth pink	F19CBB
Amaranth (color)#Amaranth purple	AB274F
Amaranth (color)	D3212D
Amazon (color)	3B7A57
Amber (color)	FFBF00
Amber (color)#SAE/ECE_amber	FF7E00
Amethyst (color)	9966CC
Android green	A4C639
Antique brass	CD9575
Antique bronze	665D1E
46	915C83
Ruby (color)#Antique ruby	841B2D
Shades of white#Antique white	FAEBD7
Ao (color)	8000
Chartreuse (color)#Apple green	8DB600
Apricot (color)	FBCEB1
Aqua (color)	00FFFF
Aquamarine (color)	7FFFD4
Lime (color)#Arctic lime	D0FF14
Shades of green#Army green	4B5320
Shades of green#Artichoke	8F9779
Arylide yellow	E9D66B
8	B2BEB5
26	87A96B
Shades of orange#Atomic tangerine	FF9966
Auburn (color)	A52A2A
Aureolin	FDEE00
95	568203
Azure (color)	007FFF
Shades of azure#Azure (web color)	F0FFFF
Baby blue	89CFF0
Baby blue#Baby blue eyes	A1CAF1
Shades of pink#Baby pink	F4C2C2
Shades of white#Baby powder	FEFEFA
Baker-Miller pink	FF91AF
List of Crayola crayon colors#Standard colors	FAE7B5
Shades_of_pink#Barbie_pink	DA1884
Shades of red#Barn red	7C0A02
Battleship grey	848482
Baby blue#Beau blue	BCD4E6
Shades of brown#Beaver	9F8170
Beige	F5F5DC
Sapphire (color)#B'dazzled blue	2E5894
Ruby (color)#Big dip o'ruby	9C2542
X11 color names#Color name charts	FFE4C4
Bistre	3D2B1F
Bistre#Bistre brown	967117
46	CAE00D
Lime (color)	BFFF00
Shades of orange#Bittersweet	FE6F5E
Shades of orange#Bittersweet shimmer	BF4F51
Black	0
Shades of black#Black bean	3D0C02
Shades of black#Black chocolate	1B1811
Shades of black#Black coffee	3B2F2F
List of Crayola crayon colors#Pearl Brite	54626F
Olive (color)#Black olive	3B3C36
List of Crayola crayon colors#Heads 'n Tails	BFAFB2
X11 color names	FFEBCD
Bronze (color)#Blast-off bronze	A57164
Bleu de France (colour)	318CE7
List of Crayola crayon colors#Fluorescent crayons	ACE5EE
Blond	FAF0BE
Blood red	660000
Blue	0000FF
Shades of blue#Blue (Crayola)	1F75FE
Shades of blue#Blue (Munsell)	0093AF
Shades of blue#Blue (NCS) (psychological primary blue)	0087BD
Shades of blue#Blue (Pantone)	0018A8
Shades of blue#Blue (CMYK) (pigment blue)	333399
RYB color model	0247FE
List of Crayola crayon colors#Standard colors	A2A2D0
Blue-gray	6699CC
Blue-green	0D98BA
Blue-green#Blue-green (color wheel)	6.40E+41
List of Crayola crayon colors#Heads 'n Tails	5DADEC
Sapphire (color)#Blue sapphire	126180
Indigo#Deep indigo (web color blue-violet)	8A2BE2
Violet (color)	7366BD
Violet (color)	4D1A7F
Air Force blue#Blue yonder	5072A7
List of Crayola crayon colors	3C69E7
Red-violet#Blush	DE5D83
Bole (color)	79443B
Shades of white#Bone	E3DAC9
Shades of green#Bottle green	006A4E
Shades of brown#Brandy	87413F
